date,product,close_price_krw_per_tco2,weighted_avg_price_krw_per_tco2,open_price_krw_per_tco2,high_price_krw_per_tco2,low_price_krw_per_tco2,volume_tco2,trading_value_krw
2026-06-16,KAU28,24550,0,0,0,0,0,0
2026-06-16,KAU29,24550,0,0,0,0,0,0
2026-06-16,KAU30,24550,0,0,0,0,0,0
2026-06-16,KCU25,9300,0,0,0,0,0,0
2026-06-16,KCU26,9300,0,0,0,0,0,0
2026-06-16,KOC21-26,12050,0,0,0,0,0,0
2026-06-16,KOC22-27,11000,0,0,0,0,0,0
2026-06-16,KOC23-28,15000,0,0,0,0,0,0
2026-06-16,KOC24-29,13500,0,0,0,0,0,0
2026-06-16,KOC25-30,13000,0,0,0,0,0,0
2026-06-16,KOC26-31,11000,0,0,0,0,0,0
2026-06-16,i-KCU25,15450,0,0,0,0,0,0
2026-06-16,i-KCU26,15450,0,0,0,0,0,0
2026-06-16,i-KOC21-26,14900,0,0,0,0,0,0
2026-06-16,i-KOC22-27,12550,0,0,0,0,0,0
2026-06-16,i-KOC23-28,22700,0,0,0,0,0,0
2026-06-16,i-KOC24-29,14500,0,0,0,0,0,0
2026-06-16,i-KOC25-30,12400,0,0,0,0,0,0
2026-06-16,i-KOC26-31,12400,0,0,0,0,0,0
2026-06-17,KAU25,19600,19056,19700,19700,18250,1130511,21542453200
2026-06-17,KAU26,24500,0,0,0,0,0,0
2026-06-17,KAU27,24550,0,0,0,0,0,0
2026-06-17,KAU28,24550,0,0,0,0,0,0
2026-06-17,KAU29,24550,0,0,0,0,0,0
2026-06-17,KAU30,24550,0,0,0,0,0,0
2026-06-17,KCU25,9300,0,0,0,0,0,0
2026-06-17,KCU26,9300,0,0,0,0,0,0
2026-06-17,KOC21-26,12050,0,0,0,0,0,0
2026-06-17,KOC22-27,11000,0,0,0,0,0,0
2026-06-17,KOC23-28,15000,0,0,0,0,0,0
2026-06-17,KOC24-29,13500,0,0,0,0,0,0
2026-06-17,KOC25-30,13000,0,0,0,0,0,0
2026-06-17,KOC26-31,11000,0,0,0,0,0,0
2026-06-17,i-KCU25,15450,0,0,0,0,0,0
2026-06-17,i-KCU26,15450,0,0,0,0,0,0
2026-06-17,i-KOC21-26,14900,0,0,0,0,0,0
2026-06-17,i-KOC22-27,12550,0,0,0,0,0,0
2026-06-17,i-KOC23-28,22700,21820,20500,22700,20500,25000,545500000
2026-06-17,i-KOC24-29,14500,0,0,0,0,0,0
2026-06-17,i-KOC25-30,12400,0,0,0,0,0,0
2026-06-17,i-KOC26-31,12400,0,0,0,0,0,0
2026-06-18,KAU25,20000,19848,19800,20050,19100,638907,12680837000
2026-06-18,KAU26,24500,0,0,0,0,0,0
2026-06-18,KAU27,24550,0,0,0,0,0,0
2026-06-18,KAU28,24550,0,0,0,0,0,0
2026-06-18,KAU29,24550,0,0,0,0,0,0
2026-06-18,KAU30,24550,0,0,0,0,0,0
2026-06-18,KCU25,9300,0,0,0,0,0,0
2026-06-18,KCU26,9300,0,0,0,0,0,0
2026-06-18,KOC21-26,12050,0,0,0,0,0,0
2026-06-18,KOC22-27,11000,0,0,0,0,0,0
2026-06-18,KOC23-28,15000,0,0,0,0,0,0
2026-06-18,KOC24-29,13500,0,0,0,0,0,0
2026-06-18,KOC25-30,13000,0,0,0,0,0,0
2026-06-18,KOC26-31,11000,0,0,0,0,0,0
2026-06-18,i-KCU25,15450,0,0,0,0,0,0
2026-06-18,i-KCU26,15450,0,0,0,0,0,0
2026-06-18,i-KOC21-26,14900,0,0,0,0,0,0
2026-06-18,i-KOC22-27,12550,0,0,0,0,0,0
2026-06-18,i-KOC23-28,22700,0,0,0,0,0,0
2026-06-18,i-KOC24-29,14500,0,0,0,0,0,0
2026-06-18,i-KOC25-30,12400,0,0,0,0,0,0
2026-06-18,i-KOC26-31,12400,0,0,0,0,0,0
2026-06-19,KAU25,20650,20836,20000,21500,20000,536400,11176344900
2026-06-19,KAU26,24500,0,0,0,0,0,0
2026-06-19,KAU27,24550,0,0,0,0,0,0
2026-06-19,KAU28,24550,0,0,0,0,0,0
2026-06-19,KAU29,24550,0,0,0,0,0,0
2026-06-19,KAU30,24550,0,0,0,0,0,0
2026-06-19,KCU25,9300,0,0,0,0,0,0
2026-06-19,KCU26,9300,0,0,0,0,0,0
2026-06-19,KOC21-26,12050,0,0,0,0,0,0
2026-06-19,KOC22-27,11000,0,0,0,0,0,0
2026-06-19,KOC23-28,15000,0,0,0,0,0,0
2026-06-19,KOC24-29,13500,0,0,0,0,0,0
2026-06-19,KOC25-30,13000,0,0,0,0,0,0
2026-06-19,KOC26-31,11000,0,0,0,0,0,0
2026-06-19,i-KCU25,15450,0,0,0,0,0,0
2026-06-19,i-KCU26,15450,0,0,0,0,0,0
2026-06-19,i-KOC21-26,14900,0,0,0,0,0,0
2026-06-19,i-KOC22-27,12550,0,0,0,0,0,0
2026-06-19,i-KOC23-28,22700,0,0,0,0,0,0
2026-06-19,i-KOC24-29,14500,0,0,0,0,0,0
2026-06-19,i-KOC25-30,12400,0,0,0,0,0,0
2026-06-19,i-KOC26-31,12400,0,0,0,0,0,0
2026-06-22,KAU25,21000,20780,20500,21000,20500,276740,5750599500
2026-06-22,KAU26,24500,0,0,0,0,0,0
2026-06-22,KAU27,24550,0,0,0,0,0,0
2026-06-22,KAU28,24550,0,0,0,0,0,0
2026-06-22,KAU29,24550,0,0,0,0,0,0
2026-06-22,KAU30,24550,0,0,0,0,0,0
2026-06-22,KCU25,9300,0,0,0,0,0,0
2026-06-22,KCU26,9300,0,0,0,0,0,0
2026-06-22,KOC21-26,12050,0,0,0,0,0,0
2026-06-22,KOC22-27,11000,0,0,0,0,0,0
2026-06-22,KOC23-28,15000,0,0,0,0,0,0
2026-06-22,KOC24-29,13500,0,0,0,0,0,0
2026-06-22,KOC25-30,13000,0,0,0,0,0,0
2026-06-22,KOC26-31,11000,0,0,0,0,0,0
2026-06-22,i-KCU25,15450,0,0,0,0,0,0
2026-06-22,i-KCU26,15450,0,0,0,0,0,0
2026-06-22,i-KOC21-26,14900,0,0,0,0,0,0
2026-06-22,i-KOC22-27,12550,0,0,0,0,0,0
2026-06-22,i-KOC23-28,22700,0,0,0,0,0,0
2026-06-22,i-KOC24-29,14500,0,0,0,0,0,0
2026-06-22,i-KOC25-30,12400,0,0,0,0,0,0
2026-06-22,i-KOC26-31,12400,0,0,0,0,0,0
